Species,Area,Year,Catch
Bullet tuna,"Indian Ocean, Eastern",2014,3300
Bullet tuna,"Indian Ocean, Eastern",2015,3250
Bullet tuna,"Indian Ocean, Eastern",2016,3600
Bullet tuna,"Indian Ocean, Eastern",2017,3436.24
Bullet tuna,"Indian Ocean, Eastern",2018,2787.13
Bullet tuna,"Indian Ocean, Eastern",2019,4087.03
Bullet tuna,"Indian Ocean, Eastern",2020,7686.64
Bullet tuna,"Indian Ocean, Eastern",2021,10551.75
Bullet tuna,"Indian Ocean, Eastern",2022,18946.2
Bullet tuna,"Indian Ocean, Eastern",2023,29733
Bullet tuna,"Indian Ocean, Western",2014,268.61
Bullet tuna,"Indian Ocean, Western",2015,1278.91
Bullet tuna,"Indian Ocean, Western",2016,2563.06
Bullet tuna,"Indian Ocean, Western",2017,2130.31
Bullet tuna,"Indian Ocean, Western",2018,1964.89
Bullet tuna,"Indian Ocean, Western",2019,4387
Bullet tuna,"Indian Ocean, Western",2020,1191
Bullet tuna,"Indian Ocean, Western",2021,406.7
Bullet tuna,"Indian Ocean, Western",2022,753.08
Bullet tuna,"Indian Ocean, Western",2023,3109
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2014,894.95
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2015,3453.09
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2016,4750.74
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2017,9176.69
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2018,6331.87
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2019,2855
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2020,5739
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2021,4308.52
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2022,7978.02
"Butterfishes, pomfrets NEI","Indian Ocean, Eastern",2023,9386
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2014,30000
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2015,24500
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2016,26500
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2017,28128
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2018,24708.98
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2019,0
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2020,0
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2021,0
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2022,0
"Butterfishes, pomfrets NEI","Indian Ocean, Western",2023,0
Carangids NEI,"Indian Ocean, Eastern",2014,20192
Carangids NEI,"Indian Ocean, Eastern",2015,16304
Carangids NEI,"Indian Ocean, Eastern",2016,17663
Carangids NEI,"Indian Ocean, Eastern",2017,18749
Carangids NEI,"Indian Ocean, Eastern",2018,16470.02
Carangids NEI,"Indian Ocean, Eastern",2019,0
Carangids NEI,"Indian Ocean, Eastern",2020,0
Carangids NEI,"Indian Ocean, Eastern",2021,0
Carangids NEI,"Indian Ocean, Eastern",2022,0
Carangids NEI,"Indian Ocean, Eastern",2023,0
Carangids NEI,"Indian Ocean, Western",2014,48034
Carangids NEI,"Indian Ocean, Western",2015,5681
Carangids NEI,"Indian Ocean, Western",2016,6128
Carangids NEI,"Indian Ocean, Western",2017,4385
Carangids NEI,"Indian Ocean, Western",2018,4904.03
Carangids NEI,"Indian Ocean, Western",2019,4923.02
Carangids NEI,"Indian Ocean, Western",2020,4539.41
Carangids NEI,"Indian Ocean, Western",2021,4692.71
Carangids NEI,"Indian Ocean, Western",2022,4233.85
Carangids NEI,"Indian Ocean, Western",2023,4534.14
Cephalopods NEI,"Indian Ocean, Eastern",2014,91200
Cephalopods NEI,"Indian Ocean, Eastern",2015,10500
Cephalopods NEI,"Indian Ocean, Eastern",2016,11300
Cephalopods NEI,"Indian Ocean, Eastern",2017,11852
Cephalopods NEI,"Indian Ocean, Eastern",2018,9042.97
Cephalopods NEI,"Indian Ocean, Eastern",2019,9077.98
Cephalopods NEI,"Indian Ocean, Eastern",2020,8370.59
Cephalopods NEI,"Indian Ocean, Eastern",2021,8653.29
Cephalopods NEI,"Indian Ocean, Eastern",2022,7807.15
Cephalopods NEI,"Indian Ocean, Eastern",2023,8525.06
Cephalopods NEI,"Indian Ocean, Western",2014,26013
Cephalopods NEI,"Indian Ocean, Western",2015,0
Cephalopods NEI,"Indian Ocean, Western",2016,0
Cephalopods NEI,"Indian Ocean, Western",2017,0
Cephalopods NEI,"Indian Ocean, Western",2018,0
Cephalopods NEI,"Indian Ocean, Western",2019,0
Cephalopods NEI,"Indian Ocean, Western",2020,0
Cephalopods NEI,"Indian Ocean, Western",2021,0
Cephalopods NEI,"Indian Ocean, Western",2022,0
Cephalopods NEI,"Indian Ocean, Western",2023,0
